Model,Model_Params,Cost_Matrix_Value,Optimizer,Optimizer_Params,Accuracy,Precision,Recall,F1-score,MCC,Avg_ROI,TP_positions,total_positions,positive_positions
LSTM,"{'dropout_rate': 0.1, 'hidden_dim': 32, 'num_layers': 2}",1.627659574,RMSprop,{'lr': 0.01},0.653846154,0.185185185,0.072992701,0.104712042,-0.072104815,0.007037222,10,54,31
LSTM,"{'dropout_rate': 0.1, 'hidden_dim': 128, 'num_layers': 2}",0.1,RMSprop,{'lr': 0.01},0.67611336,0.358024691,0.211678832,0.266055046,0.07982816,0.006992355,29,81,51
LSTM,"{'dropout_rate': 0.5, 'hidden_dim': 32, 'num_layers': 2}",0.1,Adam,{'lr': 0.01},0.686234818,0.326923077,0.124087591,0.17989418,0.03799813,0.006972263,17,52,28
LSTM,"{'dropout_rate': 0.1, 'hidden_dim': 256, 'num_layers': 2}",1.627659574,Adam,{'lr': 0.001},0.467611336,0.322033898,0.832116788,0.464358452,0.158794562,0.006954504,114,354,191
LSTM,"{'dropout_rate': 0.1, 'hidden_dim': 128, 'num_layers': 2}",0.15,Adam,{'lr': 0.01},0.609311741,0.214285714,0.153284672,0.178723404,-0.070053447,0.006915382,21,98,60
LSTM,"{'dropout_rate': 0.5, 'hidden_dim': 32, 'num_layers': 4}",0.4,Adam,{'lr': 0.001},0.653846154,0.276315789,0.153284672,0.197183099,-0.000964038,0.006903275,21,76,45
LSTM,"{'dropout_rate': 0.3, 'hidden_dim': 32, 'num_layers': 2}",1.627659574,Adam,{'lr': 0.001},0.473684211,0.319648094,0.795620438,0.456066946,0.141127393,0.006877039,109,341,186
MLP,"{'dropout_rate': 0.5, 'hidden_dim': 1024}",0.4,RMSprop,{'lr': 0.001},0.651821862,0.315789474,0.218978102,0.25862069,0.041921283,0.006869877,30,95,54
LSTM,"{'dropout_rate': 0.5, 'hidden_dim': 256, 'num_layers': 3}",0.1,RMSprop,{'lr': 0.001},0.678137652,0.333333333,0.160583942,0.216748768,0.049126127,0.006838849,22,66,39
LSTM,"{'dropout_rate': 0.5, 'hidden_dim': 128, 'num_layers': 4}",0.15,RMSprop,{'lr': 0.001},0.429149798,0.310704961,0.868613139,0.457692308,0.138489895,0.006809939,119,383,205
LSTM,"{'dropout_rate': 0.3, 'hidden_dim': 256, 'num_layers': 2}",0.1,RMSprop,{'lr': 0.001},0.631578947,0.330827068,0.321167883,0.325925926,0.072535652,0.006808718,44,133,69
MLP,"{'dropout_rate': 0.5, 'hidden_dim': 256}",0.4,Adam,{'lr': 0.001},0.524291498,0.268867925,0.416058394,0.326647564,-0.016385015,0.006778711,57,212,112
ComplexCNN,"{'dropout_rate': 0.5, 'hidden_dim': 32}",0.1,RMSprop,{'lr': 0.001},0.550607287,0.304147465,0.481751825,0.372881356,0.053024149,0.006778046,66,217,111
LSTM,"{'dropout_rate': 0.1, 'hidden_dim': 32, 'num_layers': 4}",0.3,RMSprop,{'lr': 0.01},0.649797571,0.242857143,0.124087591,0.164251208,-0.031285991,0.006770463,17,70,33
LSTM,"{'dropout_rate': 0.1, 'hidden_dim': 128, 'num_layers': 3}",0.3,Adam,{'lr': 0.001},0.491902834,0.280769231,0.532846715,0.367758186,0.008102766,0.006761331,73,260,144
